tv,name,sector,industry,mcap_b,summary
NASDAQ:GH,"Guardant Health, Inc.",Healthcare,Diagnostics & Research,22.0,"Guardant Health, Inc., a precision oncology company, provides blood and tissue tests, and data sets in the United States and internationally. The company offers Guardant360 CDx test, a liquid biopsy test for tumor mutation profiling; Guardant360 Liquid test, which measures 740+ genes and supports all guideline-recommended biomarkers; Guardant Reveal test, a blood test that utilizes circulating tum"
NYSE:GIB,CGI Inc.,Technology,Information Technology Services,14.2,"CGI Inc. provides information technology and business process services in Western and Southern Europe, the United States, Canada, Scandinavia, Northwest and Central-East Europe, the United Kingdom, Australia, Germany, Finland, Poland, Baltics, and the Asia Pacific. It offers end-to-end services and solutions, including business and strategic IT consulting; systems integration, such as data integra"
TSX:GIB.A,CGI INC,Technology,Information Technology Services,19.6,"CGI Inc. provides information technology and business process services in Western and Southern Europe, the United States, Canada, Scandinavia, Northwest and Central-East Europe, the United Kingdom, Australia, Germany, Finland, Poland, Baltics, and the Asia Pacific. It offers end-to-end services and solutions, including business and strategic IT consulting; systems integration, such as data integra"
NASDAQ:GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,180.6,"Gilead Sciences, Inc., a biopharmaceutical company, discovers, develops, and commercializes medicines in the areas of unmet medical need in the United States, Europe, and internationally. The company provides Biktarvy, Descovy, Genvoya, Odefsey, Sunlenca, Symtuza, and YeztugoFor the treatment of HIV-1 infection in patients. It also provides Epclusa, Livdelzi, and Vemlidy to treat chronic hepatitis"
NYSE:GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,19.9,"General Mills, Inc. manufactures and markets branded consumer food in the United States and internationally. The company operates through four segments: North America Retail; International; North America Pet; and North America Foodservice. It offers snacks, including grain, fruit and savory snacks, nutrition bars, and frozen hot snacks; ready-to-eat cereal; convenient meals comprising meal kits, e"
NYSE:GL,Globe Life Inc.,Financial Services,Insurance - Life,13.1,"Globe Life Inc., through its subsidiaries, provides various life and supplemental health insurance products to lower middle- and middle-income families in the United States. It operates in three segments: Life Insurance, Supplemental Health Insurance, and Investments. The company offers whole, term, and other life insurance products, as well as life insurance for children; Medicare supplement and "
NASDAQ:GLPI,"Gaming and Leisure Properties, ",Real Estate,REIT - Specialty,12.4,"Gaming and Leisure Properties, Inc. is engaged in the business of acquiring, financing, and owning real estate property to be leased to gaming operators in triple-net lease arrangements, pursuant to which the tenant is responsible for all facility maintenance, insurance required in connection with the leased properties and the business conducted on the leased properties, taxes levied on or with re"
NYSE:GLW,Corning Incorporated,Technology,Electronic Components,145.7,"Corning Incorporated operates in optical communications, display, specialty materials, automotive, and life sciences businesses in the United States, Canada, Mexico, Japan, Taiwan, China, South Korea, Germany, and internationally. The company provides optical fibers and cables; and hardware and equipment products, such as cable assemblies, fiber optic hardware and connectors, optical components an"
NYSE:GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,76.8,"General Motors Company designs, builds, and sells trucks, crossovers, cars, and automobile parts worldwide. It operates through GM North America, GM International, and GM Financial segments. The company markets its vehicles primarily under the Buick, Cadillac, Chevrolet, GMC, Baojun, and Wuling brand names. In addition, it sells trucks, crossovers, cars, and automobile parts through retail dealers"
NASDAQ:GMAB,Genmab A/S,Healthcare,Biotechnology,20.5,"Genmab A/S, a biotechnology company, develops antibody-based products and product candidates for the treatment of cancer and other diseases in Denmark. The company markets EPKINLY and TEPKINLY for adult patients with relapsed or refractory (R/R) diffuse large b-cell lymphoma (DLBCL), large B-cell lymphoma, and follicular lymphoma (FL); and Tivdak for adult patients with recurrent/metastatic cervic"
NYSE:GNRC,Generac Holdlings Inc.,Industrials,Specialty Industrial Machinery,11.0,"Generac Holdings Inc. designs, manufactures, and distributes energy technology products and solutions worldwide. The company offers residential automatic standby generators, automatic transfer switch, air-cooled engine home standby generators, and liquid-cooled engine generators; Mobile Link, a remote monitoring system for home standby generators; propane tank monitoring solution; and smart home s"
NASDAQ:GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,4003.0,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, a"
NASDAQ:GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,4030.4,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, a"
NYSE:GPC,Genuine Parts Company,Consumer Cyclical,Auto Parts,18.6,"Genuine Parts Company distributes automotive and industrial replacement parts. The company operates in three segments: North America Automotive Parts Group, International Automotive Parts Group, and Industrial Parts Group. It distributes automotive replacement parts, accessories, tools, equipment, and related solutions for hybrid and electric vehicles, trucks, buses, motorcycles, farm equipment, a"
NYSE:GPN,Global Payments Inc.,Industrials,Specialty Business Services,23.3,"Global Payments Inc. provides payment technology and software solutions for card, check, and digital-based payments in the Americas, Europe, and the Asia-Pacific. It offers authorization, settlement and funding, customer support, chargeback resolution, reconciliation and dispute management, terminal rental, sales and deployment, payment security, and consolidated billing and reporting services. Th"
